Sample_Run,Sample,Isolate ID,sensu,Species,State,,
ND-AN-4,SRR11344160,L7-1220,strictu,wels,ND,,
ND-AN-5,SRR11344159,L7-1221,strictu,wels,ND,,
ND-KS-1,SRR11344178,L7-1180,strictu,wels,ND,,
ND-KS-2,SRR11344175,L7-1187,strictu,wels,ND,,
ND-KS-3,SRR11344172,L7-1193,strictu,wels,ND,,
ND-KS-4,SRR11344168,L7-1201,strictu,wels,ND,,
ND-LI-5,SRR11344049,L7-1275,strictu,wels,ND,,
ND-LL-2,SRR11344054,L7-1255,strictu,wels,ND,,
ND-LL-3,SRR11344053,L7-1257,strictu,wels,ND,,
ND-LL-4,SRR11344052,L7-1263,strictu,wels,ND,,
ND-LL-5,SRR11344051,L7-1269,strictu,wels,ND,,
ND-LN-4,SRR11344047,L7-1282,strictu,wels,ND,,
ND-LN-5,SRR11344045,L7-1291,strictu,wels,ND,,
ND-LZ-5,SRR11344043,L7-1295,strictu,wels,ND,,
ND-WL-1,SRR11344065,L7-1227,strictu,wels,ND,,
ND-WL-2,SRR11344064,L7-1233,strictu,wels,ND,,
ND-WL-5,SRR11344063,L7-1239,strictu,wels,ND,,
NY-BM-1,SRR11344117,L7-0361,strictu,wels,NY,,
OH-CV-1,SRR11343842,L7-0192,strictu,wels,OH,,
PA-SGL-2,SRR11344144,L7-0545,strictu,wels,PA,,
SD-AS-2,SRR11343964,L7-0905,strictu,wels,SD,,
SD-AS-3,SRR11343963,L7-0910,strictu,wels,SD,,
SD-BH-2,SRR11344097,L7-1599,strictu,wels,SD,,
SD-BH-5,SRR11344095,L7-1601,strictu,wels,SD,,
SD-LH-1,SRR11343927,L7-1041,strictu,wels,SD,,
SD-OL-3,SRR11343934,L7-1005,strictu,wels,SD,,
SD-OL-4,SRR11343931,L7-1014,strictu,wels,SD,,
TN-WR-2,SRR11344040,L7-1312,strictu,wels,TN,,
TN-WR-4,SRR11344037,L7-1320,strictu,wels,TN,,
TN-WR-5,SRR11344036,L7-1325,strictu,wels,TN,,
TX-CB-2,SRR11344106,L7-0387,strictu,wels,TX,,
TX-CB-4,SRR11344105,L7-0393,strictu,wels,TX,,
TX-CR-1,SRR11344149,L7-0045,strictu,wels,TX,,
TX-DP-5,SRR11344039,L7-0100,strictu,wels,TX,,
TX-GCS-1,SRR11343980,L7-0060,strictu,wels,TX,,
TX-GCS-2,SRR11343958,L7-0067,strictu,wels,TX,,
TX-GCS-5,SRR11343924,L7-0082,strictu,wels,TX,,
TX-MN-2,SRR11344020,L7-1710,strictu,wels,TX,,
TX-MN-4,SRR11344019,L7-1711,strictu,wels,TX,,
TX-MN-5,SRR11344017,L7-1718,strictu,wels,TX,,
WA-SB-4,SRR11344189,L7-1107,strictu,wels,WA,,
LA-AN-1-a,SRR11343872,L7-1829,strictu,wels,LA,,
LA-AN-2-a,SRR11343866,L7-1835,strictu,wels,LA,,
LA-AN-3-a,SRR11343861,L7-1838,strictu,wels,LA,,
LA-AN-4-a,SRR11343856,L7-1846,strictu,wels,LA,,
LA-AN-5-a,SRR11343853,L7-1851,strictu,wels,LA,,
MT-PC-3-a,SRR11344246,L7-1542,strictu,wels,MT,,
ND-LL-1-a,SRR11344057,L7-1250,lato,wels,ND,,
NY-BM-2-a,SRR11344112,L7-0371,strictu,wels,NY,,
NY-BM-5-a,SRR11344107,L7-0385,lato,wels,NY,,
OH-CV-4-a,SRR11344218,L7-0217,lato,wels,OH,,
SD-SS-2-a,SRR11343908,L7-1073,strictu,wels,MN,,
TX-DP-2-a,SRR11344050,L7-0096,strictu,wels,TX,,
TX-LL-2-a,SRR11344205,L7-0033,lato,wels,TX,,
TX-MC-1-a,SRR11344108,L7-0038,strictu,wels,TX,,
TX-SH-2-a,SRR11344069,L7-1659,strictu,wels,TX,,
WY-BH-4-a,SRR11344228,L7-1588,lato,wels,SD,,
WY-BH-5-a,SRR11344224,L7-1594,lato,wels,SD,,
WY-TB-3-a,SRR11343879,L7-1499,strictu,wels,WY,,
